Distribution|Votes|Rank|Title|Year
0000001321|366529|8.0|The Imitation Game |2014
0000001321|130613|8.0|Per un pugno di dollari |1964
0000001321|743841|8.0|Pirates of the Caribbean: The Curse of the Black Pearl |2003
0000001321|332848|8.0|Prisoners |2013
0000001221|68767|8.0|Notorious |1946
0000001321|88074|8.0|Tenkû no shiro Rapyuta |1986
0000001321|292600|8.0|The Help |2011
0000001322|90928|8.0|Roman Holiday |1953
0000001222|51935|8.0|Who's Afraid of Virginia Woolf? |1966
0000001321|91469|8.0|Papillon |1973
0000001222|57689|8.0|Bom yeoreum gaeul gyeoul geurigo bom |2003
0000001212|279145|8.0|Beauty and the Beast |1991
0000001222|60003|8.0|The Night of the Hunter |1955
0000001321|42638|8.0|Anatomy of a Murder |1959
0000001222|153508|8.0|Before Sunset |2004
0000001222|43904|8.0|La strada |1954
0000001321|200097|8.0|The Graduate |1967
0000001222|29416|8.0|Le samouraï |1967
0000001321|59824|8.0|The Hustler |1961
0000001212|45291|8.0|La dolce vita |1960
0000001222|49399|8.0|Solyaris |1972
0000001222|68723|8.0|Fa yeung nin wa |2000
0000001222|59394|8.0|Trois couleurs: Rouge |1994
0000000123|33723|8.0|Queen |2014
0000001222|73552|8.0|A Streetcar Named Desire |1951
